enquiry_id,age,profession,annual_income_lpa,current_locality,workplace_area,family_size,config_interested,budget_min_lakh,budget_max_lakh,purpose,buyer_status,financing,loan_preapproved,timeline,enquiry_source,brochure_downloads,site_visits_other_projects,preferred_contact,vastu_important,key_requirement
ENQ0137,31,IT Professional,16,Kadugodi,EPIP Whitefield,2,2 BHK,90,100,Investment,Upgrading from 2BHK,Home Loan + Savings,No,3-6 months,Property Portal,4,0,WhatsApp,No,Big balcony
ENQ0138,38,IT Professional,14,KR Puram,EPIP Whitefield,2,2 BHK,70,80,Investment,Upgrading from 2BHK,Mostly Savings,No,Just exploring,Property Portal,1,2,WhatsApp,No,Near metro station
ENQ0139,31,IT Professional,18,Marathahalli,Bagmane Tech Park,4,2 BHK,80,100,Self Use,Upgrading from 2BHK,Home Loan,No,Just exploring,LinkedIn,1,0,WhatsApp,No,Big balcony
ENQ0140,31,Government Employee,18,Whitefield,ITPL,3,2 BHK,85,100,Investment,Relocating to Bengaluru,Home Loan + Savings,Yes,Just exploring,Property Portal,0,1,Phone Call,Yes,Low maintenance cost
ENQ0141,37,NRI (Software),28,Hoodi,Outside Bengaluru,3,3 BHK,125,145,Investment,First Home,Home Loan,No,3-6 months,Google Search,3,2,WhatsApp,No,East facing unit
ENQ0142,27,IT Professional,12,ITPL Area,EPIP Whitefield,5,3 BHK,70,90,Self Use,Adding Second Property,Selling Existing Property,No,Just exploring,Instagram Ad,0,1,Phone Call,Yes,Ready to move preferred
ENQ0143,40,Business Owner,20,Mahadevapura,ITPL,1,3 BHK,115,130,Self Use + Investment,Adding Second Property,Mostly Savings,No,3-6 months,Google Search,1,0,WhatsApp,Yes,High floor with view
ENQ0144,27,IT Professional,14,Kadugodi,CBD,3,2 BHK,75,85,Self Use,Upgrading from 2BHK,Home Loan + Savings,No,Within 1 month,Facebook Ad,4,4,Email,No,Rental yield potential
ENQ0145,39,IT Professional,10,KR Puram,Marathahalli ORR,5,2 BHK,70,85,Investment,First Home,Mostly Savings,No,1-3 months,Instagram Ad,3,4,WhatsApp,No,Big balcony
ENQ0146,37,IT Professional,22,Marathahalli,ITPL,3,2 BHK,110,125,Self Use,Relocating to Bengaluru,Home Loan + Savings,Yes,1-3 months,Referral,4,3,Phone Call,Yes,Pet friendly
ENQ0147,34,IT Professional,16,KR Puram,CBD,2,2 BHK,80,90,Self Use + Investment,Upgrading from 2BHK,Mostly Savings,Yes,6-12 months,Facebook Ad,3,2,Phone Call,No,Close to office
ENQ0148,51,Business Owner,38,Outside Bengaluru,EPIP Whitefield,5,3 BHK,155,175,Investment,First Home,Mostly Savings,Yes,3-6 months,Property Portal,3,0,WhatsApp,No,Large clubhouse
ENQ0149,28,Startup Employee,14,Whitefield,Work From Home,4,2 BHK,70,80,Self Use,Adding Second Property,Home Loan,No,Just exploring,Walk-in,1,2,WhatsApp,Yes,Big balcony
ENQ0150,39,Chartered Accountant,30,Brookefield,Outside Bengaluru,2,3 BHK,125,145,Self Use,Relocating to Bengaluru,Home Loan,No,3-6 months,Walk-in,1,1,Phone Call,No,Close to office
ENQ0151,43,Teacher/Professor,7,ITPL Area,Work From Home,4,2 BHK,70,85,Self Use + Investment,Upgrading from 2BHK,Home Loan,No,3-6 months,Referral,3,1,Email,Yes,High floor with view
ENQ0152,43,Defence/PSU,15,Kadugodi,Work From Home,4,2 BHK,70,80,Self Use + Investment,Relocating to Bengaluru,Home Loan + Savings,No,Within 1 month,Property Portal,3,1,WhatsApp,No,East facing unit
ENQ0153,46,Marketing/Sales Professional,15,Brookefield,Bagmane Tech Park,4,2 BHK,70,80,Self Use,First Home,Home Loan + Savings,Yes,6-12 months,Property Portal,3,1,WhatsApp,Yes,Pet friendly
ENQ0154,33,IT Professional,18,Outside Bengaluru,Work From Home,1,2 BHK,75,90,Self Use + Investment,Relocating to Bengaluru,Home Loan,Yes,3-6 months,Google Search,1,2,WhatsApp,Yes,Large clubhouse
ENQ0155,32,NRI (Software),45,ITPL Area,EPIP Whitefield,4,3 BHK,155,170,Self Use + Investment,Adding Second Property,Home Loan,No,6-12 months,Instagram Ad,2,2,WhatsApp,No,Large clubhouse
ENQ0156,32,Defence/PSU,9,Mahadevapura,EPIP Whitefield,2,2 BHK,70,90,Self Use,Adding Second Property,Home Loan,No,3-6 months,Instagram Ad,3,2,WhatsApp,Yes,Close to office
ENQ0157,37,Government Employee,15,Mahadevapura,ITPL,5,2 BHK,70,85,Self Use,First Home,Selling Existing Property,No,6-12 months,Walk-in,3,1,WhatsApp,No,Large clubhouse
ENQ0158,34,IT Professional,16,Hoodi,ITPL,2,3 BHK,90,105,Investment,First Home,Mostly Savings,No,6-12 months,Google Search,1,0,WhatsApp,Yes,Pet friendly
ENQ0159,48,NRI (Software),28,Whitefield,Bagmane Tech Park,4,3 BHK,155,165,Investment,Adding Second Property,Home Loan,No,3-6 months,Referral,1,2,Phone Call,Yes,Ready to move preferred
ENQ0160,40,Defence/PSU,11,Outside Bengaluru,ITPL,4,2 BHK,70,80,Investment,Adding Second Property,Home Loan,Yes,3-6 months,Property Portal,2,2,WhatsApp,No,High floor with view
ENQ0161,41,Teacher/Professor,11,Brookefield,EPIP Whitefield,3,3 BHK,70,90,Self Use + Investment,Upgrading from 2BHK,Home Loan,No,1-3 months,Instagram Ad,5,4,Phone Call,Yes,Gated community safety
ENQ0162,32,Marketing/Sales Professional,11,Whitefield,Work From Home,3,2 BHK,70,85,Self Use,Relocating to Bengaluru,Selling Existing Property,No,Just exploring,Property Portal,2,1,WhatsApp,No,Good schools nearby
ENQ0163,36,IT Professional,22,Brookefield,Marathahalli ORR,3,3 BHK,115,125,Self Use,Adding Second Property,Home Loan,No,Just exploring,Hoarding,1,0,WhatsApp,Yes,Near metro station
ENQ0164,38,IT Professional,10,Whitefield,CBD,4,3 BHK,70,90,Self Use,Relocating to Bengaluru,Selling Existing Property,No,6-12 months,Property Portal,2,1,WhatsApp,No,Large clubhouse
ENQ0165,30,IT Professional,22,Hoodi,CBD,2,3 BHK,115,135,Self Use,Relocating to Bengaluru,Mostly Savings,No,1-3 months,Property Portal,4,3,WhatsApp,Yes,Ready to move preferred
ENQ0166,35,NRI (Software),25,Hoodi,ITPL,3,3 BHK,115,135,Self Use + Investment,Adding Second Property,Home Loan,No,6-12 months,Google Search,2,1,Email,No,East facing unit
ENQ0167,53,Business Owner,20,Mahadevapura,ITPL,2,2 BHK,85,95,Self Use,Upgrading from 1BHK,Home Loan,No,3-6 months,Instagram Ad,4,2,Email,No,Near metro station
ENQ0168,34,Government Employee,18,KR Puram,ITPL,1,2 BHK,95,105,Self Use,Relocating to Bengaluru,Home Loan,Yes,6-12 months,LinkedIn,1,2,WhatsApp,Yes,Large clubhouse
ENQ0169,32,Business Owner,45,Marathahalli,Bagmane Tech Park,2,3 BHK,155,175,Self Use,First Home,Selling Existing Property,No,Just exploring,Walk-in,1,2,Phone Call,Yes,East facing unit
ENQ0170,27,IT Professional,16,Whitefield,Work From Home,1,2 BHK,80,95,Investment,Upgrading from 2BHK,Home Loan + Savings,No,Just exploring,LinkedIn,2,1,Phone Call,Yes,High floor with view
ENQ0171,40,Chartered Accountant,14,Whitefield,CBD,3,3 BHK,70,85,Investment,Adding Second Property,Selling Existing Property,No,Just exploring,Instagram Ad,0,2,Phone Call,No,Big balcony
ENQ0172,38,IT Professional,22,KR Puram,CBD,1,3 BHK,115,130,Self Use,Upgrading from 2BHK,Home Loan + Savings,No,3-6 months,Facebook Ad,4,1,WhatsApp,No,Big balcony
ENQ0173,39,NRI (Software),45,Whitefield,Outside Bengaluru,3,3 BHK,155,175,For Parents,Adding Second Property,Home Loan,No,1-3 months,Referral,4,2,WhatsApp,No,Large clubhouse
ENQ0174,30,Defence/PSU,15,Kadugodi,EPIP Whitefield,5,2 BHK,70,80,Self Use,Relocating to Bengaluru,Mostly Savings,No,Just exploring,Hoarding,1,0,WhatsApp,No,Low maintenance cost
ENQ0175,29,IT Professional,18,Marathahalli,Work From Home,2,2 BHK,85,100,Self Use,First Home,Home Loan + Savings,Yes,Just exploring,Instagram Ad,2,2,Phone Call,No,Good schools nearby
ENQ0176,29,IT Professional,22,Varthur,Marathahalli ORR,1,2 BHK,105,125,Self Use,First Home,Home Loan,No,3-6 months,Google Search,3,1,Email,Yes,East facing unit
ENQ0177,30,NRI (Software),38,Outside Bengaluru,Marathahalli ORR,4,3 BHK,155,165,For Parents,Adding Second Property,Home Loan,Yes,1-3 months,Walk-in,5,3,WhatsApp,No,East facing unit
ENQ0178,33,IT Professional,14,Marathahalli,Work From Home,3,3 BHK,75,85,Self Use,First Home,Home Loan + Savings,No,Just exploring,Facebook Ad,1,2,Email,No,Near metro station
ENQ0179,36,IT Professional,30,Outside Bengaluru,EPIP Whitefield,2,3 BHK,155,175,Self Use,Upgrading from 2BHK,Home Loan + Savings,No,Just exploring,Instagram Ad,2,1,WhatsApp,No,Pet friendly
ENQ0180,32,IT Professional,26,Brookefield,ITPL,2,3 BHK,140,150,Self Use,Adding Second Property,Home Loan,No,1-3 months,Referral,3,0,Phone Call,No,Near metro station
ENQ0181,51,Chartered Accountant,26,ITPL Area,EPIP Whitefield,4,3 BHK,140,150,Self Use,Upgrading from 2BHK,Home Loan,No,Just exploring,Property Portal,1,0,WhatsApp,Yes,Pet friendly
ENQ0182,45,NRI (Software),32,Marathahalli,Outside Bengaluru,4,3 BHK,155,170,Self Use + Investment,Adding Second Property,Home Loan,Yes,6-12 months,Property Portal,3,1,Phone Call,No,Pet friendly
ENQ0183,46,Doctor,25,Kadugodi,Work From Home,4,3 BHK,115,130,Self Use,First Home,Selling Existing Property,No,1-3 months,Property Portal,3,4,Phone Call,Yes,Big balcony
ENQ0184,36,IT Professional,30,Whitefield,Bagmane Tech Park,2,3 BHK,145,165,Self Use,Relocating to Bengaluru,Home Loan,No,3-6 months,Property Portal,2,0,WhatsApp,No,Pet friendly
ENQ0185,53,Bank Employee,9,KR Puram,Bagmane Tech Park,2,2 BHK,70,80,Self Use,First Home,Home Loan,Yes,Just exploring,Referral,2,0,Email,No,Good schools nearby
ENQ0186,50,NRI (Software),25,Varthur,Work From Home,2,2 BHK,105,120,Self Use,First Home,Home Loan + Savings,Yes,1-3 months,LinkedIn,3,4,WhatsApp,Yes,Low maintenance cost
ENQ0187,31,IT Professional,16,Hoodi,Marathahalli ORR,4,2 BHK,80,100,Self Use,Adding Second Property,Home Loan,No,3-6 months,LinkedIn,1,2,WhatsApp,Yes,Ready to move preferred
ENQ0188,30,NRI (Software),25,Mahadevapura,EPIP Whitefield,2,3 BHK,120,135,Self Use,Adding Second Property,Mostly Savings,No,6-12 months,Facebook Ad,2,2,WhatsApp,No,Near metro station
ENQ0189,29,IT Professional,18,Mahadevapura,EPIP Whitefield,2,2 BHK,75,90,Investment,First Home,Home Loan,No,3-6 months,Property Portal,1,1,Phone Call,No,Ready to move preferred
ENQ0190,27,IT Professional,12,Whitefield,Work From Home,2,2 BHK,70,90,Self Use,Upgrading from 2BHK,Home Loan,Yes,3-6 months,Instagram Ad,4,1,WhatsApp,Yes,Close to office
ENQ0191,31,NRI (Software),25,KR Puram,EPIP Whitefield,1,3 BHK,120,140,Self Use,Upgrading from 1BHK,Home Loan,No,3-6 months,Property Portal,2,1,Email,No,Gated community safety
ENQ0192,31,Doctor,20,Hoodi,Work From Home,3,2 BHK,85,95,Self Use,First Home,Mostly Savings,No,Just exploring,Google Search,2,2,WhatsApp,Yes,Close to office
ENQ0193,36,IT Professional,16,Varthur,ITPL,4,2 BHK,70,90,For Parents,First Home,Home Loan + Savings,No,3-6 months,Referral,3,0,WhatsApp,No,Rental yield potential
ENQ0194,28,Marketing/Sales Professional,11,Whitefield,CBD,2,2 BHK,70,85,Self Use,Upgrading from 1BHK,Home Loan,Yes,Within 1 month,Property Portal,5,1,Phone Call,Yes,Near metro station
ENQ0195,43,Teacher/Professor,7,Whitefield,Outside Bengaluru,1,3 BHK,70,85,Self Use + Investment,Adding Second Property,Home Loan,No,6-12 months,Google Search,1,2,Phone Call,No,Big balcony
ENQ0196,36,Doctor,45,Brookefield,Bagmane Tech Park,4,3 BHK,155,165,Self Use + Investment,Adding Second Property,Mostly Savings,Yes,6-12 months,LinkedIn,3,2,Phone Call,No,Close to office
ENQ0197,53,Defence/PSU,11,Hoodi,Bagmane Tech Park,1,2 BHK,70,80,Self Use,Adding Second Property,Mostly Savings,No,6-12 months,LinkedIn,2,2,WhatsApp,Yes,Pet friendly
ENQ0198,53,Business Owner,28,Marathahalli,CBD,1,3 BHK,145,160,For Parents,Relocating to Bengaluru,Home Loan + Savings,No,Just exploring,Google Search,0,0,WhatsApp,Yes,High floor with view
ENQ0199,34,IT Professional,10,Marathahalli,CBD,3,3 BHK,70,80,Self Use,Upgrading from 2BHK,Home Loan,No,1-3 months,Property Portal,4,3,WhatsApp,Yes,Good schools nearby
ENQ0200,40,IT Professional,26,Varthur,CBD,3,3 BHK,120,135,Self Use + Investment,Relocating to Bengaluru,Home Loan,Yes,Just exploring,Referral,0,2,Email,No,Pet friendly
